indicator,method,precision,recall,f1
vol_wass_betti0,PELT,0.508994708994709,0.5528735632183908,0.5300275482093664
vol_wass_betti0,BinSeg,0.5511363636363636,0.22298850574712645,0.31751227495908346
vol_wass_betti0,CUSUM,0.8872727272727273,0.287396937573616,0.43416370106761565
log_wass_betti0,PELT,0.5148514851485149,0.6419753086419753,0.5714285714285714
log_wass_betti0,BinSeg,0.6108374384236454,0.2921083627797409,0.3952191235059761
log_wass_betti0,CUSUM,0.675392670157068,0.303886925795053,0.4191714053614947
log_dtw_betti0,PELT,0.62625250501002,0.7014590347923682,0.6617257808364214
log_dtw_betti0,BinSeg,0.5819070904645477,0.2735632183908046,0.3721657544956998
log_dtw_betti0,CUSUM,0.6177215189873417,0.28045977011494255,0.3857707509881423
vol_dtw_betti0,PELT,0.5167144221585482,0.6218390804597701,0.5644235785080856
vol_dtw_betti0,BinSeg,0.5045592705167173,0.19080459770114944,0.27689741451209343
vol_dtw_betti0,CUSUM,0.672782874617737,0.2591283863368669,0.3741496598639456
SP500,PELT,0.5232067510548524,0.28670520231213875,0.3704256908140403
SP500,BinSeg,0.49742268041237114,0.223121387283237,0.30806065442936953
SP500,CUSUM,0.6194029850746269,0.2908878504672897,0.3958664546899841
VIX,PELT,0.5412735849056604,0.5221843003412969,0.5315576143601621
VIX,BinSeg,0.5438144329896907,0.24004550625711035,0.3330702446724546
VIX,CUSUM,0.49390243902439024,0.18620689655172415,0.2704507512520868
vol_btc_parkinson,PELT,0.4690721649484536,0.10459770114942529,0.17105263157894737
vol_btc_parkinson,BinSeg,0.7169811320754716,0.3057471264367816,0.42868654311039484
vol_btc_parkinson,CUSUM,0.7429718875502008,0.21790341578327443,0.33697632058287796
vol_btc_rogers,PELT,0.43037974683544306,0.11724137931034483,0.1842818428184282
vol_btc_rogers,BinSeg,0.4572127139364303,0.2149425287356322,0.292415949960907
vol_btc_rogers,CUSUM,0.748,0.22025912838633688,0.3403093721565059
fear_greed,PELT,0.5106100795755968,0.43209876543209874,0.46808510638297873
fear_greed,BinSeg,0.39119804400978,0.1839080459770115,0.2501954652071931
fear_greed,CUSUM,0.40097799511002447,0.18850574712643678,0.25645035183737297
BVOL,PELT,0.6029900332225914,0.42406542056074764,0.49794238683127573
BVOL,BinSeg,0.6539440203562341,0.3002336448598131,0.41152922337870296
BVOL,CUSUM,0.6070460704607046,0.26260257913247365,0.36661211129296234
CVI,PELT,0.567258883248731,0.519163763066202,0.5421467556094602
CVI,BinSeg,0.5665024630541872,0.26713124274099886,0.36306235201262826
CVI,CUSUM,0.7435897435897436,0.33642691415313225,0.46325878594249204
vol_wass_clustering,PELT,0.5596868884540117,0.6574712643678161,0.6046511627906976
vol_wass_clustering,BinSeg,0.5241730279898219,0.2367816091954023,0.3262074425969913
vol_wass_clustering,CUSUM,0.6176470588235294,0.2655172413793103,0.37138263665594856
vol_wass_degree_centrality,PELT,0.5569620253164557,0.6574712643678161,0.60305745914602
vol_wass_degree_centrality,BinSeg,0.6844783715012722,0.30919540229885056,0.4259699129057799
vol_wass_degree_centrality,CUSUM,0.6176470588235294,0.2655172413793103,0.37138263665594856
vol_wass_pagerank,PELT,0.5768025078369906,0.6344827586206897,0.6042692939244664
vol_wass_pagerank,BinSeg,0.5470737913486005,0.2471264367816092,0.3404592240696754
vol_wass_pagerank,CUSUM,0.7038123167155426,0.2826855123674912,0.40336134453781514
log_wass_clustering,PELT,0.5596868884540117,0.6574712643678161,0.6046511627906976
log_wass_clustering,BinSeg,0.5241730279898219,0.2367816091954023,0.3262074425969913
log_wass_clustering,CUSUM,0.6176470588235294,0.2655172413793103,0.37138263665594856
log_wass_degree_centrality,PELT,0.5569620253164557,0.6574712643678161,0.60305745914602
log_wass_degree_centrality,BinSeg,0.6844783715012722,0.30919540229885056,0.4259699129057799
log_wass_degree_centrality,CUSUM,0.6176470588235294,0.2655172413793103,0.37138263665594856
log_wass_pagerank,PELT,0.5768025078369906,0.6344827586206897,0.6042692939244664
log_wass_pagerank,BinSeg,0.5470737913486005,0.2471264367816092,0.3404592240696754
log_wass_pagerank,CUSUM,0.7038123167155426,0.2826855123674912,0.40336134453781514
log_dtw_clustering,PELT,0.5222984562607204,0.6835016835016835,0.5921244530870199
log_dtw_clustering,BinSeg,0.6306954436450839,0.30977620730270905,0.4154818325434439
log_dtw_clustering,CUSUM,0.5931372549019608,0.27816091954022987,0.37871674491392804
log_dtw_degree_centrality,PELT,0.5370065789473685,0.7328843995510662,0.6198386331276696
log_dtw_degree_centrality,BinSeg,0.6280193236714976,0.30624263839811544,0.4117181314330958
log_dtw_degree_centrality,CUSUM,0.5931372549019608,0.27816091954022987,0.37871674491392804
log_dtw_pagerank,PELT,0.518942731277533,0.6770114942528735,0.5875311720698254
log_dtw_pagerank,BinSeg,0.5172413793103449,0.2413793103448276,0.329153605015674
log_dtw_pagerank,CUSUM,0.6462395543175488,0.26666666666666666,0.3775427176566314
vol_dtw_clustering,PELT,0.5730442978322338,0.6988505747126437,0.6297255308130503
vol_dtw_clustering,BinSeg,0.4884910485933504,0.21954022988505748,0.302934179222839
vol_dtw_clustering,CUSUM,0.7219251336898396,0.31802120141342755,0.44153720359771054
vol_dtw_degree_centrality,PELT,0.578996282527881,0.7160919540229885,0.6402877697841727
vol_dtw_degree_centrality,BinSeg,0.5492610837438424,0.25632183908045975,0.3495297805642633
vol_dtw_degree_centrality,CUSUM,0.7181571815718157,0.3121319199057715,0.4351395730706076
vol_dtw_pagerank,PELT,0.5915768854064642,0.6942528735632184,0.6388154415653093
vol_dtw_pagerank,BinSeg,0.7404580152671756,0.33448275862068966,0.46080760095011875
vol_dtw_pagerank,CUSUM,0.7134328358208956,0.28150765606595995,0.40371621621621623
